,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.01,0.0,0.0,0.01
secondary.dMass,0.0,0.01,0.0,0.0
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.34,0.0,0.0,0.0
secondary.dRotPeriod,0.0,0.41,0.0,0.01
secondary.dEcc,0.02,0.03,0.01,0.44
secondary.dOrbPeriod,0.17,0.15,0.9,0.06
primary.dTidalQ,0.01,0.04,0.01,0.19
