,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.32,0.03,0.69,0.08
secondary.dMass,0.02,0.29,0.44,0.05
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.12,0.0,0.6,0.06
secondary.dRotPeriod,0.0,0.12,0.59,0.04
secondary.dEcc,0.14,0.14,1.0,0.44
secondary.dOrbPeriod,0.6,0.58,0.35,0.41
primary.dTidalTau,0.36,0.36,0.48,0.41
