,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.0,0.02,0.0,0.02,0.05,0.0,0.45
secondary.dMass,0.0,0.0,0.0,0.0,0.0,0.07,0.44
primary.dRotPeriod,0.42,0.0,0.0,0.0,0.52,0.0,0.0
secondary.dRotPeriod,0.0,0.45,0.01,0.0,0.0,0.59,0.0
secondary.dEcc,0.05,0.0,0.05,0.8,0.0,0.0,0.01
primary.dTidalQ,0.3,0.25,0.17,0.11,0.01,0.01,0.0
