,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,,,,0.02,,,
secondary.dMass,,,,0.02,,,
primary.dRotPeriod,,,,0.01,,,
secondary.dRotPeriod,,,,0.01,,,
secondary.dEcc,,,,0.12,,,
primary.dTidalTau,,,,0.48,,,
