,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.0,0.0,0.02,0.01,0.07,0.0,0.45
secondary.dMass,0.0,0.02,0.02,0.02,0.02,0.13,0.43
primary.dRotPeriod,0.39,0.0,0.0,0.0,0.25,0.0,0.0
secondary.dRotPeriod,0.0,0.34,0.0,0.01,0.0,0.07,0.0
secondary.dEcc,0.2,0.13,0.21,0.36,0.01,0.0,0.03
primary.dTidalQ,0.01,0.0,0.31,0.42,0.04,0.0,0.01
