,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.02,0.02,0.06,0.05,0.77,0.03,0.54
secondary.dMass,0.04,0.03,0.08,0.07,0.0,0.29,0.54
primary.dRotPeriod,0.77,0.0,0.0,0.0,0.96,0.0,0.0
secondary.dRotPeriod,0.01,0.74,0.04,0.02,0.0,0.66,0.0
secondary.dEcc,0.27,0.26,0.58,0.59,0.01,0.03,0.03
primary.dTidalQ,0.45,0.46,0.69,0.57,0.09,0.22,0.01
