,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.02,0.06,0.06,0.01
secondary.dMass,0.04,0.01,0.02,0.02
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.23,0.0,0.09,0.02
secondary.dRotPeriod,0.0,0.21,0.08,0.03
secondary.dEcc,0.08,0.11,1.0,0.54
secondary.dOrbPeriod,0.47,0.42,0.82,0.41
primary.dTidalTau,0.6,0.64,0.54,0.36
