,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.0,0.01,0.0,0.0
secondary.dMass,0.01,0.0,0.0,0.0
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.13,0.0,0.01,0.0
secondary.dRotPeriod,0.0,0.06,0.0,0.0
secondary.dEcc,0.03,0.04,0.31,0.32
secondary.dOrbPeriod,0.2,0.18,0.82,0.19
primary.dTidalTau,0.33,0.33,0.04,0.16
