,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.02,0.03,0.35,0.06,0.72,0.0,0.54
secondary.dMass,0.01,0.02,0.16,0.05,0.0,0.34,0.54
primary.dRotPeriod,0.93,0.0,0.02,0.0,1.0,0.0,0.0
secondary.dRotPeriod,0.0,0.93,0.02,0.0,0.0,0.77,0.0
secondary.dEcc,0.1,0.09,0.7,0.91,0.0,0.0,0.01
primary.dTidalQ,0.26,0.24,1.0,0.15,0.07,0.09,0.01
