,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.05,0.07,0.38,0.06,0.52,0.47,0.54
secondary.dMass,0.05,0.05,0.34,0.07,0.02,0.54,0.54
primary.dRotPeriod,0.43,0.0,0.19,0.02,0.84,0.0,0.0
secondary.dRotPeriod,0.0,0.55,0.12,0.01,0.0,1.0,0.0
secondary.dEcc,0.33,0.32,1.0,0.49,0.02,0.03,0.01
primary.dTidalTau,0.54,0.5,0.58,0.69,0.49,0.54,0.0
