,Unnamed: 0,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note,KID,BJD,Per,Type,Kmag,Teff,log(g),E(B-V),Crowd,T2/T1,q,F,r1+r2,esinw,ecosw,sini,ecc,porb_prot
351,351,4832197,1.895,sp,1.921,1.459,,,,,,,,,,4832197.0,54965.39184,1.89537,D,11.51,6039,4.182,0.069,0.014,0.95422,,,0.2663,-0.47581,0.34149,0.99738,0.5856710477734067,0.9864653826132223
352,352,4839180,8.853,sp,11.545,0.026,11.029,12.376,,,0.02,0.051,0.035,0.035,,4839180.0,54998.16423,8.84116,D,13.501,6033,4.287,0.124,0.023,0.81239,,,0.10034,0.08664,0.01796,0.99806,0.08848192583799247,0.7668254655695106
353,353,4840263,1.916,sp,1.9,0.822,1.883,1.892,1.911,1.923,0.128,0.07,0.022,0.03,,4840263.0,55002.76982,1.916,D,13.988,5725,4.142,0.145,0.111,0.55409,,,0.27598,-0.03983,0.01942,0.97803,0.04431213490681756,1.0084210526315789
355,355,4840818,10.05,sp,13.098,0.682,12.644,13.735,,,0.054,0.143,,,,4840818.0,54966.12073,10.04926,D,14.355,6113,4.449,0.145,0.031,0.8241,,,0.09231,0.10663,0.1808,0.99844,0.20990139804203306,0.7672927164452589
365,365,4862625,20.0,sp,2.616,0.907,,,,,,,,,,4862625.0,54967.8213,19.98435,D,13.718,6149,4.658,0.107,0.163,0.95325,,,0.01519,-0.27253,0.57817,0.99733,0.6391816250487806,7.6452599388379205
366,366,4902030,1.758,sp,1.757,0.607,1.738,1.759,,,0.05,0.129,,,,4902030.0,54995.14511,1.75757,D,15.929,4235,4.525,0.076,0.336,0.93414,,,0.19665,0.07178,0.15906,0.9985,0.17450630934152497,1.0005691519635744
367,367,4908495,3.12,sp,3.085,1.496,,,,,,,,,,4908495.0,54965.36719,3.12032,D,13.871,4731,4.449,0.06,0.045,1.00062,,,0.09177,-0.34234,-0.35775,1.00274,0.49515829600239963,1.0113452188006484
371,371,4912991,4.443,sp,4.209,1.21,4.14,4.228,4.297,4.354,0.027,0.031,0.072,0.043,,4912991.0,54971.05078,8.88672,D,11.297,6032,4.242,0.057,0.422,0.96604,,,0.03802,0.09576,0.04025,0.81211,0.10387511780980083,1.0555951532430505
374,374,4931073,26.951,sp,26.686,0.011,,,,,,,,,b,4931073.0,54956.9756,26.95107,D,11.957,6453,4.249,0.089,0.046,0.8146,,,0.04463,0.29949,-0.33576,1.0069,0.44992114609117895,1.0099303005321143
382,382,4940201,8.817,sp,10.646,0.467,10.296,11.049,,,0.081,0.039,,,,4940201.0,55002.52192,8.80437,D,14.984,5284,4.61,0.117,0.253,0.6843,,,0.08575,0.04157,-0.03394,0.9965,0.05366552431496407,0.8281983843697163
390,390,4947726,4.726,sp,4.495,1.025,4.401,4.607,,,0.029,0.03,,,,4947726.0,54965.9164,4.72754,D,15.181,5638,4.789,0.128,0.296,0.66817,,,0.14336,0.0487,0.09343,0.99384,0.10536059462626432,1.0513904338153504
391,391,4948863,8.644,sp,8.439,0.562,,,,,,,,,,4948863.0,54972.8291,8.64331,D,15.414,5490,4.745,0.136,0.48,0.76796,,,0.07106,0.16864,0.10525,1.00126,0.1987888631186365,1.024291977722479
394,394,4990977,2.649,sp,2.636,1.314,,,,,,,,,,4990977.0,55003.47334,2.64957,D,13.87,5597,4.345,0.1,0.001,0.90354,,,0.0998,-0.30661,-0.5424,0.99612,0.6230629599807711,1.0049317147192716
404,404,5016163,5.246,sp,5.149,0.253,5.213,5.324,,,0.044,0.037,0.015,0.015,,5016163.0,55001.57473,5.24521,D,15.768,6017,4.627,0.18,0.07,0.97942,,,0.1827,0.01489,0.00875,0.99876,0.01727062824566611,1.018838609438726
410,410,5022440,3.694,sp,3.821,1.309,3.603,3.734,4.0,4.136,0.016,0.022,0.045,0.042,,5022440.0,55003.56158,3.69554,D,15.286,5719,4.754,0.135,0.049,0.81515,,,0.10403,-0.30073,0.43501,0.97954,0.5288404608197069,0.9667626275844019
416,416,5025294,5.463,sp,3.433,1.013,,,,,,,,,,5025294.0,54967.2681,5.46261,D,13.266,5697,4.494,0.087,0.164,0.9488,,,0.11876,0.15087,0.39025,0.9987,0.41839791992790787,1.5913195455869502
418,418,5036538,2.122,sp,2.125,1.237,,,,,,,,,,5036538.0,55001.58623,2.12114,D,13.349,4199,4.438,0.032,0.402,0.5964,,,0.15713,-0.37615,0.47682,0.99925,0.6073270411401093,0.9985882352941176
420,420,5039441,2.151,sp,2.186,0.637,,,,,,,,,,5039441.0,54966.1119,2.15132,D,12.916,5943,4.192,0.118,0.051,0.6083,,,0.24627,0.0191,0.0058,0.99241,0.019961212388028938,0.9839890210430009
427,427,5080652,4.144,sp,4.536,0.852,4.693,4.75,,,0.333,0.112,,,,5080652.0,55001.34618,4.14608,D,15.08,5344,4.858,0.087,0.096,0.86723,,,0.1584,0.06581,-0.39252,0.99797,0.3979986262539106,0.9135802469135803
430,430,5091614,21.142,sp,21.128,0.52,20.101,22.33,,,0.028,0.044,,,,5091614.0,54971.3931,21.13917,D,14.083,5820,4.491,0.11,0.056,0.80175,,,0.0663,0.48046,0.04718,0.87373,0.48277092290236373,1.0006626277925028
451,451,5181455,5.58,sp,5.844,1.21,5.476,5.589,5.722,6.222,0.02,0.05,0.027,0.029,,5181455.0,54966.55469,5.58038,D,15.473,5875,4.428,0.167,0.116,0.83768,,,0.08805,0.03923,0.40272,0.97778,0.4046262365442953,0.9548254620123203
453,453,5193386,21.378,sp,25.767,1.228,25.554,27.349,,,0.418,0.14,,,,5193386.0,54980.2072,21.37126,D,13.998,4797,4.591,0.061,0.03,0.40252,,,0.19543,-0.20903,-0.38083,0.99687,0.4344249415031324,0.8296658516707417
461,461,5216727,1.513,sp,1.512,0.948,1.501,1.513,,,0.066,0.047,,,,5216727.0,55002.74669,1.51285,D,13.448,5932,4.201,0.138,0.132,0.55704,,,0.28542,-0.0721,-0.12908,0.95946,0.14785146735829172,1.0006613756613756
472,472,5269407,0.959,sp,0.96,0.603,0.95,0.954,0.957,0.963,0.032,0.041,0.019,0.018,,5269407.0,55002.08661,0.9588,D,14.164,5307,4.332,0.106,0.083,0.51059,,,0.44618,-0.00928,0.0285,0.98073,0.029972794330859445,0.9989583333333333
480,480,5288543,3.457,sp,3.372,0.053,3.453,3.465,,,0.024,0.009,0.012,0.012,,5288543.0,55002.84411,3.4572,D,13.585,,,,0.158,0.78083,,,0.21119,0.01232,0.02795,0.99537,0.030544801521699236,1.0252075919335706
485,485,5300878,1.279,sp,1.267,1.117,1.274,1.279,,,0.118,0.361,,,,5300878.0,55002.59529,1.2794,D,14.767,4631,4.106,0.127,0.488,0.95443,,,0.28858,0.06778,-0.00651,0.99649,0.06809191214821332,1.0094711917916337
492,492,5343976,4.331,sp,4.414,1.189,,,,,,,,,,5343976.0,55006.70748,4.33106,D,12.612,,,,0.012,0.87777,,,0.15586,0.23563,-0.38116,0.99717,0.44811208698271016,0.9811961939284097
494,494,5347784,9.584,sp,10.319,1.256,10.112,10.278,11.141,11.263,0.159,0.118,0.099,0.039,,5347784.0,55000.64087,9.6,D,13.094,5392,3.789,0.12,0.046,0.61223,,,0.05874,-0.43014,-0.44389,0.99439,0.6181090127962866,0.9287721678457214
501,501,5359678,6.231,sp,6.212,0.527,6.236,6.39,,,0.092,0.044,,,,5359678.0,55003.51942,6.2305,D,14.154,6159,4.659,0.112,0.026,0.89583,,,0.11629,0.04633,0.02603,0.98255,0.05314160140605475,1.003058596265293
514,514,5393558,10.217,sp,9.543,1.088,9.437,9.917,,,0.047,0.067,,,,5393558.0,54970.248,10.21729,D,13.752,5676,4.197,0.14,0.714,0.87939,,,0.06758,-0.13257,0.40249,0.99951,0.4237605514910514,1.0706276852142933
521,521,5450814,6.488,sp,6.702,1.519,,,,,,,,,,5450814.0,54996.57583,12.97438,D,15.693,4398,4.539,0.084,0.197,1.07593,,,0.2256,-0.50651,0.33754,0.98609,0.6086753089291531,0.9680692330647569
538,538,5530881,5.083,sp,5.64,0.334,,,,,,,,,,5530881.0,55001.53816,5.08259,D,13.508,6138,4.342,0.118,0.265,0.66793,,,0.1573,0.0503,0.02434,0.97343,0.05587956334832977,0.9012411347517731
550,550,5597970,6.717,sp,7.826,1.273,,,,,,,,,,5597970.0,54970.21094,6.71808,D,12.778,,,,0.003,0.6462,,,0.07925,-0.04322,-0.2411,0.99613,0.24494321464372107,0.8582928699207769
571,571,5643492,41.865,sp,8.868,1.511,8.582,9.252,,,0.062,0.054,,,,5643492.0,54994.1,14.91039,D,14.528,5832,4.651,0.126,0.16,1.07597,,,0.08355,-0.72375,0.04056,0.99707,0.7248856296685705,4.720906630581868
572,572,5647008,0.8,sp,0.797,1.372,0.799,0.8,,,0.42,0.157,,,,5647008.0,55002.60027,0.79974,D,14.335,5444,4.489,0.117,0.257,0.45421,,,0.20092,-0.05247,0.31803,0.98788,0.3223293064553702,1.0037641154328734
596,596,5768927,4.391,sp,4.516,1.143,4.465,4.66,,,0.042,0.051,,,,5768927.0,54956.76953,4.39062,D,13.209,5799,4.132,0.102,0.199,0.94149,,,0.08716,-0.06724,-0.38666,1.00507,0.392462957742511,0.9723206377325067
599,599,5771589,10.739,sp,14.487,0.706,14.581,14.752,,,0.075,0.174,,,,5771589.0,54962.07812,10.76562,D,11.809,5927,4.235,0.065,0.008,0.86757,,,0.04519,0.10977,0.44297,0.99768,0.45636813407598914,0.7412852902602334
604,604,5781192,9.46,sp,11.422,0.775,,,,,,,,,,5781192.0,54999.71891,9.4599,D,12.989,5372,4.794,0.046,0.004,0.899,,,0.10545,0.19515,-0.24652,0.96384,0.3144131563723121,0.8282262300822973
607,607,5785586,0.46,sp,0.45,0.369,0.459,0.46,,,0.183,0.117,,,,5785586.0,55002.50105,0.45958,SD,15.756,5125,4.817,0.106,0.026,0.93762,,,0.5497,0.01659,0.03208,0.99779,0.036115848321754816,1.0222222222222221
613,613,5795648,4.553,sp,4.475,1.163,4.434,4.577,,,0.094,0.083,,,,5795648.0,54968.4311,4.55437,D,11.471,6052,4.208,0.067,0.0,0.61729,,,0.10442,-0.01624,0.49113,0.98978,0.4913984274496613,1.0174301675977655
617,617,5802285,2.417,sp,24.152,0.321,2.403,2.43,,,0.012,0.01,,,b,5802285.0,55003.67731,2.4176,D,15.349,4791,4.794,0.081,0.523,0.46461,,,0.1541,-0.03776,0.05207,0.99434,0.06432031172188145,0.10007452798940045
618,618,5802470,3.792,sp,3.842,0.933,3.778,3.851,,,0.189,0.142,,,,5802470.0,55001.26244,3.79191,D,13.764,5418,4.679,0.075,0.258,0.42278,,,0.13439,-0.23555,0.43449,0.9961,0.49423209385874567,0.986985944820406
620,620,5807579,17.844,sp,16.592,0.325,,,,,,,,,,5807579.0,54966.69177,17.84955,D,13.745,,,,0.098,0.82389,,,0.0424,0.37003,-0.30549,0.99795,0.47983991184560715,1.0754580520732886
629,629,5871918,12.643,sp,12.567,1.413,12.447,12.608,,,0.266,0.377,,,,5871918.0,54972.75781,12.64375,D,15.701,4021,4.513,0.06,0.139,0.81816,,,0.10634,0.22695,-0.39062,0.81211,0.45176352984719786,1.0060475849446964
638,638,5887316,0.603,sp,0.593,0.55,0.603,0.603,,,0.457,0.175,,,,5887316.0,54964.659,0.6031,D,13.989,6216,4.326,0.151,0.271,0.49872,,,0.40927,-0.3966,-0.32709,0.99646,0.5140811493334491,1.0168634064080944
643,643,5955321,11.638,sp,5.088,0.571,4.968,5.134,5.155,5.34,0.017,0.016,0.013,0.01,,5955321.0,54999.01891,11.63467,D,15.385,6169,4.481,0.169,0.052,0.95876,,,0.11514,0.21122,0.00622,1.00955,0.2113115633371728,2.2873427672955975
653,653,5979863,16.622,sp,17.552,0.698,,,,,,,,,,5979863.0,54966.5509,16.62467,D,15.229,5698,4.446,0.173,0.201,0.78229,,,0.07925,0.5393,0.05174,1.00552,0.5417762615692939,0.9470145852324522
655,655,5982353,19.563,sp,15.754,0.271,,,,,,,,,,5982353.0,54967.3579,19.56781,D,11.115,5961,4.246,0.055,0.062,0.76615,,,0.35536,0.26271,0.19292,0.99697,0.3259366050323283,1.2417798654310017
667,667,6025466,1.128,sp,1.124,1.316,1.112,1.115,1.149,1.152,0.104,0.158,0.059,0.161,,6025466.0,55002.26965,1.12775,D,13.122,5815,4.418,0.083,0.129,1.00576,,,0.36521,-0.0519,-0.41515,0.97387,0.41838156328882375,1.0035587188612098
669,669,6029130,12.592,sp,17.246,0.578,17.319,17.651,,,0.133,0.058,,,,6029130.0,55005.49945,12.58653,D,14.832,5160,4.647,0.09,0.058,0.82285,,,0.09912,0.23664,0.04972,0.91959,0.2418068816225047,0.7301403223935986
676,676,6044064,5.063,sp,5.068,1.339,,,,,,,,,,6044064.0,55002.15895,5.06329,D,15.001,5095,4.484,0.114,0.191,0.50033,,,0.44209,-0.13168,-0.05843,0.99732,0.1440614011454838,0.9990134175217048
687,687,6060580,2.313,sp,2.309,1.405,,,,,,,,,,6060580.0,55003.20165,2.31267,D,13.46,5308,4.706,0.062,0.018,0.45774,,,0.18599,-0.27592,0.49272,0.99021,0.5647166057413222,1.0017323516673884
693,693,6103049,0.643,sp,0.633,0.2,0.642,0.643,,,0.146,0.101,,,,6103049.0,55002.2007,0.64319,D,15.147,5623,4.389,0.129,0.091,0.62141,,,0.59326,-0.42204,0.47266,0.92016,0.6336601906384841,1.0157977883096367
698,698,6128027,5.456,sp,6.334,1.563,6.242,6.326,,,0.136,0.178,,,,6128027.0,54969.90759,5.45531,D,15.863,4878,4.626,0.117,0.303,0.69513,,,0.08079,-0.03323,-0.39257,0.99708,0.39397390497341317,0.8613830123144933
699,699,6128141,1.873,sp,1.839,0.504,1.87,1.877,,,0.078,0.031,0.026,0.026,,6128141.0,55003.17942,1.87181,D,14.337,5775,4.429,0.13,0.033,0.58221,,,0.14837,-0.3993,-0.4491,0.9972,0.6009420105134937,1.0184883088635128
712,712,6185717,11.702,sp,12.199,0.71,,,,,,,,,,6185717.0,54995.83332,11.70133,D,13.393,5901,4.501,0.085,0.453,0.78756,,,0.04691,0.33184,0.45272,1.00292,0.5613138017187891,0.9592589556521026
715,715,6191574,1.035,sp,1.042,1.347,1.033,1.035,,,0.355,0.359,,,,6191574.0,55002.12625,1.0346,D,14.353,4208,4.542,0.042,0.005,0.77118,,,0.49052,-0.16305,-0.40901,0.99982,0.4403118015679343,0.993282149712092
717,717,6197038,9.752,sp,9.726,1.71,,,,,,,,,,6197038.0,55000.86283,9.77901,D,13.531,4937,3.413,0.154,0.022,0.399,,,0.37113,-0.32436,0.3894,1.00492,0.506795589562498,1.0026732469668929
728,728,6231401,6.092,sp,6.069,0.647,6.055,6.161,,,0.033,0.075,,,,6231401.0,55001.06488,6.09756,D,14.847,5843,4.416,0.172,0.55,0.499,,,0.07491,-0.23699,0.48584,0.99047,0.5405596782039889,1.0037897511945955
732,732,6268722,2.638,sp,2.697,0.795,2.661,2.694,2.722,2.815,0.016,0.029,0.039,0.024,,6268722.0,55002.94429,2.63817,D,12.601,6234,4.305,0.088,0.02,0.71472,,,0.16958,0.10115,0.00854,0.98318,0.10150987193371884,0.9781238413051538
744,744,6307537,29.745,sp,78.179,1.447,,,,,,,,,,6307537.0,54960.6825,29.75137,D,11.753,,,,0.069,0.7014,,,0.14313,0.08357,0.02529,0.99445,0.0873128226550946,0.3804730170506146
745,745,6311637,1.621,sp,1.614,1.089,1.613,1.616,,,0.194,0.104,,,,6311637.0,55002.99441,1.62075,D,13.242,5534,4.209,0.109,0.06,0.50372,,,0.564,-0.01948,0.02824,0.92936,0.03430696722241708,1.0043370508054523
752,752,6359798,14.154,sp,3.412,1.259,3.407,3.436,,,0.184,0.23,,,,6359798.0,54959.54309,14.15204,D,12.932,5452,4.526,0.063,0.131,0.72675,,,0.04937,0.21086,-0.37153,0.99614,0.42719606798284093,4.148300117233294
762,762,6387450,3.661,sp,4.046,1.557,4.034,4.062,,,0.183,0.516,,,,6387450.0,55001.21803,3.66216,D,14.349,5205,4.452,0.108,0.399,0.4858,,,0.10055,-0.14946,-0.27147,0.99355,0.3098939375012038,0.9048442906574394
767,767,6421483,2.158,sp,2.145,1.181,,,,,,,,,,6421483.0,55001.60871,2.15913,D,13.024,5016,3.922,0.088,0.036,0.34999,,,0.37402,0.29704,0.05,0.95843,0.301218793570388,1.006060606060606
771,771,6432059,0.77,sp,0.776,1.29,,,,,,,,,,6432059.0,54964.7571,0.76995,D,14.84,5412,4.642,0.101,0.115,0.90415,,,0.4443,-0.57917,-0.45612,0.99516,0.7372132278384592,0.9922680412371134
773,773,6443392,0.777,sp,0.776,0.485,0.776,0.777,,,0.122,0.143,,,,6443392.0,55004.12077,0.77691,D,12.723,,,,0.006,0.47409,,,0.37086,-0.06251,0.12632,0.98218,0.1409405637139287,1.0012886597938144
776,776,6449552,20.149,sp,21.271,0.505,18.334,21.402,23.688,26.683,0.022,0.071,0.051,0.017,,6449552.0,54968.8126,20.15732,D,14.904,5357,4.453,0.129,0.394,0.75688,,,0.07504,0.239,-0.01645,0.99388,0.23956544512930072,0.9472521273094824
777,777,6452742,1.376,sp,1.369,1.174,1.369,1.378,,,0.096,0.113,,,,6452742.0,55009.56446,1.3753,D,14.726,5642,4.408,0.144,0.082,0.51737,,,0.3019,-0.0808,0.0909,0.95161,0.12162010524580218,1.0051132213294374
778,778,6464285,0.844,sp,0.838,0.764,0.835,0.838,0.842,0.846,0.08,0.068,0.014,0.026,,6464285.0,55003.75977,0.84381,D,13.826,5061,4.572,0.072,0.44,0.53318,,,0.4437,-0.01115,-0.00044,0.97668,0.01115867823713902,1.0071599045346062
779,779,6466939,2.286,sp,2.268,1.398,2.248,2.268,2.281,2.313,0.05,0.082,0.027,0.053,,6466939.0,55003.75597,2.28543,D,14.454,4920,4.551,0.086,0.125,0.94534,,,0.18699,0.09962,-0.01133,0.99801,0.10026222269628776,1.0079365079365081
781,781,6468938,7.217,sp,7.193,1.278,6.813,7.329,,,0.044,0.071,,,,6468938.0,54968.4524,7.2179,D,13.272,5805,4.244,0.118,0.028,1.03562,,,0.26068,-0.4749,0.39401,0.99636,0.6170687887910067,1.0033365772278604
788,788,6521542,4.426,sp,4.414,0.939,,,,,,,,,,6521542.0,55003.30617,2.21312,D,14.28,5880,4.404,0.129,0.03,0.66043,,,0.28823,0.02345,-0.00578,0.99245,0.024151830158395865,1.0027186225645675
791,791,6525196,3.421,sp,3.392,0.472,3.307,3.392,3.403,3.448,0.014,0.029,0.011,0.018,,6525196.0,55005.64085,3.41851,D,10.154,5966,4.129,0.042,0.001,0.91988,,,0.15376,-0.01637,0.04146,0.99519,0.044574751822079726,1.0085495283018868
800,800,6548447,10.768,sp,9.665,1.492,9.411,10.077,,,0.152,0.086,,,,6548447.0,55009.04155,10.76294,D,12.88,5031,4.005,0.092,0.165,0.67724,,,0.1559,-0.41195,-0.46662,0.99081,0.622444396633145,1.1141231246766685
801,801,6579806,9.88,sp,12.648,1.056,12.298,13.069,,,0.038,0.045,,,,6579806.0,55006.60488,19.75784,D,15.212,5869,4.598,0.118,0.004,1.03403,,,0.03996,-0.44286,0.1542,1.00023,0.46893775663727477,0.7811511701454776
802,802,6591789,5.088,sp,5.19,1.192,,,,,,,,,,6591789.0,55002.97667,5.08728,D,15.353,5410,4.718,0.109,0.028,0.78498,,,0.14265,0.14248,0.02722,0.95792,0.14505681231848436,0.9803468208092485
803,803,6593363,18.528,sp,18.738,0.284,,,,,,,,,,6593363.0,54953.7301,18.52581,D,12.893,5865,4.206,0.095,0.092,0.77897,,,0.07732,0.22054,0.09151,0.99645,0.23877179837660897,0.9887928274095421
805,805,6595662,2.681,sp,2.718,1.287,2.632,2.654,2.802,2.816,0.028,0.026,0.149,0.092,,6595662.0,55003.14891,2.68284,D,14.746,5759,4.357,0.137,0.173,0.70303,,,0.16498,-0.13778,0.39512,0.99825,0.41845327433298934,0.9863870493009567
808,808,6603756,5.204,sp,5.926,1.557,,,,,,,,,,6603756.0,54974.09375,5.20446,D,15.424,5115,4.478,0.125,0.139,0.6106,,,0.23852,-0.10483,-0.36765,0.98752,0.38230334997224386,0.8781640229497131
809,809,6606282,2.107,sp,2.002,0.409,2.107,2.111,,,0.152,0.055,,,,6606282.0,55000.20858,1.05388,D,12.97,5594,4.458,0.074,0.05,0.67134,,,0.24882,0.0278,-0.00959,0.99706,0.0294076197608715,1.0524475524475527
816,816,6614926,3.027,sp,3.004,0.85,2.907,2.977,2.993,3.066,0.008,0.012,0.029,0.015,,6614926.0,55005.63038,3.02229,D,14.044,6038,4.592,0.113,0.131,0.67285,,,0.25928,0.03405,-0.00637,0.9694,0.03464071881471283,1.0076564580559255
818,818,6620003,3.429,sp,3.412,0.7,,,,,,,,,,6620003.0,54997.17311,3.42823,D,15.686,3955,4.444,0.063,0.138,0.83376,,,0.09034,0.01805,0.12032,0.99279,0.12166636716858115,1.0049824150058617
819,819,6628237,3.84,sp,3.821,1.599,,,,,,,,,,6628237.0,54968.138,3.84018,D,14.479,5679,4.417,0.14,0.673,0.77822,,,0.13624,0.06724,-0.40281,1.00395,0.4083835374987586,1.0049725202826485
820,820,6629332,4.311,sp,4.291,1.384,,,,,,,,,,6629332.0,55007.52025,4.30948,D,13.997,5452,4.816,0.073,0.045,0.41484,,,0.38546,-0.23151,0.43209,0.89376,0.49020266033549836,1.0046609182008854
823,823,6634112,9.942,sp,10.074,1.347,10.065,10.165,,,0.464,0.178,,,,6634112.0,54966.84765,9.95526,D,14.099,5099,4.32,0.106,0.561,0.98465,,,0.03326,-0.28858,-0.41129,1.00735,0.5024319660411746,0.9868969624776653
833,833,6694186,5.554,sp,5.476,1.562,,,,,,,,,,6694186.0,55001.48319,5.55012,D,12.376,5247,4.304,0.059,0.028,0.48109,,,0.13075,-0.22484,0.46231,0.99443,0.5140851696946723,1.0142439737034332
834,834,6695889,1.107,sp,1.124,1.254,,,,,,,,,,6695889.0,55002.9976,1.10659,D,15.415,5964,4.585,0.161,0.468,0.78482,,,0.33607,0.13497,0.00713,0.98406,0.13515819545998684,0.9848754448398576
835,835,6697716,1.443,sp,1.43,1.164,1.439,1.441,,,0.324,0.124,,,,6697716.0,55008.88869,1.44357,D,14.424,4898,4.249,0.106,0.116,0.70162,,,0.17015,-0.09619,0.42371,0.9983,0.4344912889805732,1.0090909090909093
838,838,6706287,2.535,sp,2.472,1.536,,,,,,,,,,6706287.0,55004.41334,2.53516,D,13.62,,,,0.048,0.82102,,,0.17703,-0.20335,-0.45646,0.99902,0.49970686817373244,1.025485436893204
846,846,6766748,7.003,sp,7.581,0.271,,,,,,,,,,6766748.0,54969.01172,7.00379,D,13.934,6601,4.333,0.139,0.056,0.76963,,,0.12078,0.08632,0.00986,0.99549,0.08688130984279645,0.9237567603218573
847,847,6778050,0.946,sp,0.94,0.729,0.941,0.942,0.947,,0.078,0.034,0.211,,,6778050.0,54964.62115,0.94583,D,14.514,5091,4.666,0.081,0.107,1.00009,,,0.42126,-0.02095,0.00549,0.99636,0.02165739134799018,1.0063829787234042
849,849,6781535,9.122,sp,8.194,1.161,8.031,8.25,,,0.065,0.193,,,,6781535.0,54971.83606,9.11669,D,13.666,5727,4.287,0.115,0.105,0.78522,,,0.12437,-0.46122,0.31083,1.00003,0.5561826833873921,1.1132536001952646
858,858,6847018,16.662,sp,4.352,1.242,4.264,4.402,,,0.074,0.076,,,,6847018.0,54958.52734,16.66211,D,13.344,6211,4.415,0.1,0.109,0.96004,,,0.23189,-0.08148,-0.38607,0.995,0.3945744990492923,3.828584558823529
861,861,6859813,10.882,sp,6.661,0.791,6.693,6.853,,,0.157,0.055,,,,6859813.0,54954.796,10.88402,D,12.068,5951,4.39,0.065,0.07,0.71186,,,0.09215,0.11461,-0.03146,0.99616,0.11884941606924285,1.633688635340039
865,865,6863840,3.853,sp,3.78,1.56,3.759,3.781,,,0.236,0.354,,,,6863840.0,54964.7454,3.85259,D,15.138,5024,4.543,0.107,0.54,1.01231,,,0.17209,-0.54551,0.50195,0.98038,0.7413062542566332,1.0193121693121694
868,868,6866228,7.702,sp,8.03,1.412,8.009,8.068,,,0.151,0.397,,,,6866228.0,55001.38057,7.70618,D,15.144,5388,4.841,0.098,0.076,0.66871,,,0.07201,0.18015,0.45385,0.99221,0.48829688202977495,0.9591531755915318
869,869,6867766,12.965,sp,9.972,1.375,,,,,,,,,,6867766.0,54969.1384,12.97491,D,14.384,5971,4.586,0.121,0.228,1.00064,,,-0.00158,-0.65084,0.39183,0.99802,0.7596864185306987,1.3001403931006819
872,872,6891512,3.505,sp,3.515,0.573,3.459,3.469,3.528,3.584,0.019,0.061,0.041,0.015,,6891512.0,54967.47845,3.50485,D,11.388,5591,3.959,0.072,0.034,0.92887,,,0.22946,-0.03242,-0.02342,0.99724,0.03999440960934415,0.9971550497866287
873,873,6927629,7.735,sp,8.888,0.813,8.877,9.146,,,0.168,0.077,,,,6927629.0,54968.34375,7.73472,D,15.244,5550,4.367,0.129,0.025,0.92977,,,0.10902,0.1656,0.01318,1.00007,0.16612366598410958,0.8702745274527454
875,875,6934587,1.571,sp,1.573,1.267,1.555,1.558,1.588,1.613,0.089,0.033,0.034,0.033,,6934587.0,54965.47266,1.5709,D,13.406,5840,4.311,0.098,0.026,0.55338,,,0.49382,-0.31886,0.48868,0.99313,0.5835065055335715,0.9987285441830897
877,877,6939670,4.239,sp,4.209,1.463,4.113,4.248,4.424,,0.059,0.173,0.09,,,6939670.0,54968.20099,4.23876,D,14.858,5436,4.436,0.121,0.06,0.79471,,,0.14246,-0.53652,-0.45475,0.81211,0.7033144907507594,1.0071275837491092
882,882,6949550,7.841,sp,6.947,0.687,6.934,7.32,,,0.069,0.036,,,,6949550.0,54969.58777,7.84259,D,15.144,5718,4.586,0.137,0.0,0.91125,,,0.08235,0.08255,-0.26471,0.99673,0.2772830441985229,1.1286886425795308
888,888,6962018,1.27,sp,1.267,1.066,1.267,1.27,,,0.17,0.236,,,,6962018.0,54965.07232,1.27001,D,14.791,4191,4.498,0.054,0.07,0.90189,,,0.27406,0.26638,2e-05,0.99535,0.26638000075080714,1.0023677979479086
890,890,6965293,5.078,sp,5.149,1.088,5.069,5.36,5.481,5.609,0.018,0.034,0.012,0.011,,6965293.0,54957.476,5.07794,D,12.847,5944,4.185,0.11,0.059,0.56766,,,0.05519,-0.43433,0.47244,0.99255,0.6417492520447531,0.9862109147407264
892,892,7009828,10.642,sp,11.014,1.156,10.98,11.27,,,0.04,0.094,,,,7009828.0,54968.12469,10.64252,D,15.013,5581,4.545,0.111,0.062,0.63861,,,0.06496,-0.33219,0.48603,0.9943,0.5887065117696593,0.9662248047938987
906,906,7049486,26.718,sp,8.807,0.892,8.797,9.103,,,0.084,0.062,0.103,0.103,,7049486.0,54971.0521,26.71763,D,13.144,,,,0.093,0.7657,,,0.0678,0.26415,0.38025,1.00216,0.46299598810356873,3.03372317474736
910,910,7105574,20.726,sp,8.746,1.123,8.445,8.793,9.267,9.671,0.048,0.078,0.035,0.014,,7105574.0,54976.20312,20.71889,D,14.069,5765,4.652,0.09,0.19,0.60716,,,0.1169,-0.1665,0.44551,0.81211,0.4756063604494793,2.369769037274182
923,923,7125636,6.491,sp,7.417,1.442,,,,,,,,,,7125636.0,54978.0465,6.49457,D,15.507,4358,4.557,0.074,0.136,0.80904,,,0.04638,-0.35473,-0.3443,0.99917,0.4943438711059337,0.8751516785762438
924,924,7128918,7.119,sp,8.173,0.834,,,,,,,,,,7128918.0,54984.37185,7.11651,D,15.758,5386,4.912,0.115,0.2,0.7611,,,0.08576,-0.0142,0.26525,0.99565,0.2656298223091677,0.8710387862473999
