,Unnamed: 0,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note,KID,BJD,Per,Type,Kmag,Teff,log(g),E(B-V),Crowd,T2/T1,q,F,r1+r2,esinw,ecosw,sini,ecc,porb_prot
2196,2196,11967004,1.942,sp,1.921,0.634,1.906,1.923,1.941,,0.038,0.055,0.043,,,11967004.0,54966.11359,1.94145,D,13.898,6279,4.414,0.122,0.031,0.50727,,,0.24175,0.00251,-0.06955,0.97687,0.0695952771386105,1.0109318063508588
2197,2197,11968490,1.079,sp,1.083,0.967,1.075,1.079,,,0.151,0.12,,,,11968490.0,54971.90881,1.07885,D,13.698,,,,0.005,0.83334,,,0.36674,-0.21218,0.04982,0.95718,0.21795041821478572,0.9963065558633426
2201,2201,11975363,3.518,sp,3.494,1.267,,,,,,,,,,11975363.0,54967.4146,3.51778,D,15.409,5482,4.449,0.147,0.313,0.99183,,,0.14086,-0.11109,0.27961,1.00077,0.3008699722471487,1.006868918145392
2202,2202,12004679,5.042,sp,5.272,0.153,5.634,5.849,,,0.029,0.019,0.012,0.012,,12004679.0,54955.7717,5.04262,D,13.231,5432,4.49,0.066,0.003,0.93356,,,0.1105,0.10309,-0.00043,1.00115,0.10309089678531272,0.9563732928679817
2204,2204,12010534,2.582,sp,2.575,1.459,2.53,2.536,2.595,,0.187,0.125,0.215,,,12010534.0,54965.9485,2.58139,SD,15.35,5490,4.416,0.13,0.105,0.98789,,,0.20195,-0.38322,0.38895,1.01154,0.5460216762180784,1.0027184466019416
2205,2205,12013615,8.203,sp,9.154,0.441,9.361,9.565,,,0.148,0.112,,,,12013615.0,54971.5073,8.20402,D,13.878,5778,4.066,0.131,0.01,0.91855,,,0.11046,0.01423,0.08984,0.99996,0.09095998295954107,0.896110989731265
2247,2247,12351927,10.116,sp,13.159,1.142,12.962,13.277,,,0.12,0.126,,,,12351927.0,54972.9823,10.11468,D,15.52,4641,4.727,0.073,0.109,0.6471,,,0.06023,0.45496,0.008,1.00403,0.45503033041765467,0.76875142488031
2250,2250,12356746,1.005,sp,1.001,1.005,1.001,1.007,,,0.215,0.093,,,,12356746.0,54967.4334,1.00492,D,13.532,5882,4.491,0.09,0.014,0.96892,,,0.18299,-0.39892,-0.35941,0.97999,0.5369475900867794,1.003996003996004
2252,2252,12365000,1.263,sp,1.267,1.585,1.257,1.264,,,0.34,0.239,,,,12365000.0,54986.66083,1.26227,D,13.573,5080,3.603,0.142,0.012,0.9077,,,0.07491,-0.47881,-0.463,0.9919,0.666054063946764,0.9968429360694554
2253,2253,12367310,8.627,sp,8.541,1.272,8.441,8.775,,,0.129,0.07,,,,12367310.0,54972.9938,8.62654,D,13.835,4965,3.472,0.159,0.084,0.83224,,,0.11186,0.24218,-0.40543,1.00292,0.47225484359612446,1.0100690785622293
2254,2254,12367464,1.853,sp,1.88,1.36,1.856,1.886,1.898,1.904,0.039,0.051,0.02,0.038,,12367464.0,55002.31919,1.85318,D,13.085,,,,0.006,0.97523,,,0.1665,-0.2848,0.39745,0.98834,0.4889555629093507,0.9856382978723405
2255,2255,12400729,0.932,sp,0.94,1.273,0.928,0.935,,,0.085,0.086,,,,12400729.0,54965.48767,0.9316,D,15.227,4949,4.523,0.095,0.134,0.99528,,,0.33607,-0.36099,-0.47307,0.98816,0.5950705882498311,0.9914893617021278
2259,2259,12418662,2.752,sp,2.738,1.387,2.735,2.753,,,0.122,0.312,,,,12418662.0,54967.31372,2.75128,D,15.311,5280,4.5,0.126,0.189,1.04567,,,0.09801,-0.61986,0.39164,0.98865,0.7332177774713321,1.0051132213294374
2260,2260,12418816,1.522,sp,1.512,1.5,,,,,,,,,,12418816.0,54965.39355,1.52207,D,12.402,4583,4.491,0.029,0.01,0.84174,,,0.21782,-0.29688,0.18364,1.00099,0.3490864993092686,1.0066137566137565
2265,2265,12470530,8.207,sp,6.396,1.277,6.254,6.353,6.529,,0.057,0.048,0.202,,,12470530.0,54968.8267,8.20588,D,15.3,4725,4.392,0.105,0.208,0.7441,,,0.07792,-0.06103,0.19425,1.00004,0.20361169760109563,1.2831457160725455
2268,2268,12506351,2.456,sp,2.411,1.477,2.378,2.383,,,0.257,0.114,,,,12506351.0,54958.1963,2.45538,D,13.184,5949,4.418,0.085,0.091,0.48058,,,0.17309,-0.43161,-0.3299,0.9988,0.5432505886789264,1.0186644545831605
2272,2272,12557713,7.215,sp,8.173,1.631,8.116,8.281,,,0.38,0.14,,,,12557713.0,54965.4984,7.21454,D,14.853,4594,4.49,0.073,0.437,1.00782,,,-0.00258,-0.67758,0.3834,0.99905,0.7785308063268915,0.8827847791508626
2273,2273,12599700,1.018,sp,1.022,1.409,1.017,1.018,,,0.253,0.576,,,,12599700.0,54968.3156,1.01805,D,15.784,3887,4.333,0.065,0.077,1.05389,,,-0.00437,-0.73076,-0.51695,1.00909,0.89512428192961,0.9960861056751468
