,"$\rm P_{rot1,f}$ [d]","$\rm P_{rot2,f}$ [d]","$\rm P_{orb,f}$ [d]",$e_f$
"$\rm M_1 \,[M_{\odot}]$",0.0,0.0,0.0,0.0
"$\rm M_2 \,[M_{\odot}]$",0.0,0.0,0.0,0.01
"\rm $\varepsilon_{1,i}$ [deg]",0.0,0.0,0.0,0.0
"\rm $\varepsilon_{2,i}$ [deg]",0.0,0.0,0.0,0.0
"$\rm P_{rot1,i}$ [d]",0.04,0.0,0.0,0.0
"$\rm P_{rot2,i}$ [d]",0.0,0.04,0.0,0.01
$e_i$,0.07,0.06,0.04,0.18
"$\rm P_{orb,i}$ [d]",0.5,0.49,0.88,0.17
$\rm \log\tau_1$ [dex(s)],0.08,0.08,0.0,0.21
