,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.01,0.0,0.0,0.0
secondary.dMass,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.02,0.0,0.01,0.02
secondary.dRotPeriod,0.0,0.01,0.0,0.02
secondary.dEcc,0.03,0.03,0.0,0.41
primary.dTidalTau,0.87,0.87,0.0,0.35
