,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.02,0.01,0.0,0.01
secondary.dMass,0.0,0.01,0.0,0.0
primary.dRotPeriod,0.04,0.01,0.0,0.03
secondary.dRotPeriod,0.01,0.04,0.0,0.03
secondary.dEcc,0.08,0.08,0.0,0.6
primary.dTidalTau,0.96,0.95,0.0,0.55
