,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.06,0.11,0.19,0.06,0.47,0.48,0.54
secondary.dMass,0.07,0.07,0.26,0.08,0.02,0.52,0.54
primary.dRotPeriod,0.26,0.01,0.1,0.01,0.19,0.0,0.0
secondary.dRotPeriod,0.01,0.33,0.32,0.01,0.0,0.71,0.0
secondary.dEcc,0.44,0.45,1.0,0.38,0.03,0.04,0.01
primary.dTidalTau,0.55,0.49,0.44,0.78,0.29,0.59,0.0
