,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.01,0.07,0.29,0.03
secondary.dMass,0.04,0.01,0.14,0.02
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.07,0.0,0.31,0.03
secondary.dRotPeriod,0.0,0.05,0.27,0.03
secondary.dEcc,0.07,0.08,1.0,0.5
secondary.dOrbPeriod,0.39,0.37,0.6,0.4
primary.dTidalTau,0.84,0.83,0.96,0.39
