,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.02,0.03,0.0,0.0
secondary.dMass,0.02,0.0,0.0,0.0
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.03,0.01,0.01,0.0
secondary.dRotPeriod,0.0,0.0,0.01,0.0
secondary.dEcc,0.03,0.03,0.0,0.27
secondary.dOrbPeriod,0.12,0.11,0.57,0.18
primary.dTidalTau,0.5,0.54,0.02,0.18
