,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.62,0.07,1.0,0.04,0.29,0.04,0.54
secondary.dMass,0.04,0.57,0.54,0.04,0.03,0.36,0.54
primary.dRotPeriod,0.22,0.01,0.86,0.06,0.91,0.0,0.0
secondary.dRotPeriod,0.01,0.2,0.06,0.02,0.0,0.86,0.0
secondary.dEcc,0.24,0.23,0.48,0.53,0.03,0.04,0.01
primary.dTidalTau,0.56,0.54,0.08,0.62,0.84,0.21,0.0
