,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.15,0.0,0.0,0.0,0.16,0.0,0.45
secondary.dMass,0.0,0.15,0.01,0.02,0.0,0.18,0.45
primary.dRotPeriod,0.09,0.01,0.07,0.03,0.11,0.0,0.0
secondary.dRotPeriod,0.0,0.04,0.02,0.0,0.0,0.02,0.0
secondary.dEcc,0.14,0.12,0.02,0.35,0.0,0.0,0.01
primary.dTidalTau,0.09,0.07,0.0,0.35,0.06,0.06,0.0
