,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.02,0.03,0.05,0.04,0.76,0.01,0.54
secondary.dMass,0.03,0.04,0.12,0.06,0.0,0.29,0.54
primary.dRotPeriod,0.83,0.0,0.03,0.02,0.92,0.0,0.0
secondary.dRotPeriod,0.01,0.8,0.06,0.01,0.0,0.67,0.0
secondary.dEcc,0.2,0.2,0.59,0.67,0.01,0.01,0.02
primary.dTidalQ,0.41,0.41,0.79,0.45,0.05,0.11,0.01
