,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.01,0.02,0.02,0.08
secondary.dMass,0.02,0.02,0.02,0.09
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.46,0.0,0.0,0.0
secondary.dRotPeriod,0.0,0.46,0.0,0.01
secondary.dEcc,0.17,0.17,0.09,0.52
secondary.dOrbPeriod,0.48,0.51,0.9,0.25
primary.dTidalQ,0.34,0.42,0.13,0.58
