,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.02,0.0,0.01,0.04
secondary.dMass,0.02,0.0,0.01,0.02
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.16,0.0,0.0,0.0
secondary.dRotPeriod,0.0,0.29,0.0,0.0
secondary.dEcc,0.04,0.08,0.03,0.34
secondary.dOrbPeriod,0.23,0.24,0.86,0.09
primary.dTidalQ,0.0,0.02,0.03,0.33
