,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.02,0.03,0.0,0.04
secondary.dMass,0.02,0.02,0.0,0.02
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.62,0.0,0.0,0.0
secondary.dRotPeriod,0.0,0.57,0.0,0.0
secondary.dEcc,0.09,0.1,0.03,0.69
secondary.dOrbPeriod,0.47,0.43,0.99,0.37
primary.dTidalTau,0.24,0.24,0.01,0.24
