,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.0,0.0,0.0,0.01
secondary.dMass,0.0,0.0,0.0,0.0
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.41,0.0,0.0,0.0
secondary.dRotPeriod,0.0,0.35,0.0,0.0
secondary.dEcc,0.02,0.01,0.01,0.55
secondary.dOrbPeriod,0.26,0.23,0.98,0.17
primary.dTidalTau,0.04,0.0,0.01,0.08
