,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.02,0.04,1.0,0.02,0.45,0.03,0.54
secondary.dMass,0.06,0.01,0.12,0.02,0.21,0.39,0.54
primary.dRotPeriod,0.33,0.0,0.6,0.04,1.0,0.0,0.0
secondary.dRotPeriod,0.0,0.29,0.15,0.02,0.0,1.0,0.0
secondary.dEcc,0.11,0.12,0.24,0.69,0.0,0.03,0.01
primary.dTidalTau,0.75,0.76,1.0,0.45,0.22,0.28,0.0
