,"$\rm P_{rot1,f}$ [d]","$\rm P_{rot2,f}$ [d]","$\rm P_{orb,f}$ [d]",$e_f$
"$\rm M_1 \,[M_{\odot}]$",0.03,0.03,0.02,0.06
"$\rm M_2 \,[M_{\odot}]$",0.03,0.02,0.02,0.04
"\rm $\varepsilon_{1,i}$ [deg]",0.0,0.0,0.0,0.0
"\rm $\varepsilon_{2,i}$ [deg]",0.0,0.0,0.0,0.0
"$\rm P_{rot1,i}$ [d]",0.42,0.0,0.04,0.01
"$\rm P_{rot2,i}$ [d]",0.0,0.39,0.01,0.01
$e_i$,0.12,0.12,0.05,0.53
"$\rm P_{orb,i}$ [d]",0.59,0.53,0.96,0.43
$\rm \log\tau_1$ [dex(s)],0.31,0.33,0.03,0.34
