,"$\rm P_{rot1,f}$ [d]","$\rm P_{rot2,f}$ [d]","$\rm P_{orb,f}$ [d]",$e_f$
"$\rm M_1 \,[M_{\odot}]$",0.01,0.01,0.0,0.0
"$\rm M_2 \,[M_{\odot}]$",0.0,0.0,0.0,0.0
"\rm $\varepsilon_{1,i}$ [deg]",0.0,0.0,0.0,0.0
"\rm $\varepsilon_{2,i}$ [deg]",0.0,0.0,0.0,0.0
"$\rm P_{rot1,i}$ [d]",0.19,0.0,0.0,0.0
"$\rm P_{rot2,i}$ [d]",0.0,0.14,0.0,0.0
$e_i$,0.04,0.04,0.02,0.34
"$\rm P_{orb,i}$ [d]",0.36,0.36,0.94,0.18
$\rm \log\tau_1$ [dex(s)],0.06,0.04,0.0,0.15
