,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.01,0.01,0.0,0.02
secondary.dMass,0.01,0.01,0.02,0.0
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.13,0.0,0.0,0.0
secondary.dRotPeriod,0.0,0.25,0.0,0.0
secondary.dEcc,0.04,0.09,0.04,0.3
secondary.dOrbPeriod,0.25,0.28,0.84,0.07
primary.dTidalQ,0.0,0.03,0.05,0.36
