,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.03,0.01,0.0,0.01
secondary.dMass,0.01,0.03,0.0,0.0
primary.dRotPeriod,0.06,0.01,0.0,0.03
secondary.dRotPeriod,0.01,0.06,0.0,0.03
secondary.dEcc,0.12,0.12,0.0,0.57
primary.dTidalTau,0.93,0.92,0.0,0.59
