,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.02,0.02,0.05,0.08
secondary.dMass,0.01,0.02,0.05,0.09
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.12,0.0,0.07,0.05
secondary.dRotPeriod,0.0,0.12,0.01,0.01
secondary.dEcc,0.13,0.13,0.1,0.33
secondary.dOrbPeriod,0.75,0.77,0.89,0.43
primary.dTidalTau,0.23,0.25,0.05,0.6
