,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.0,0.01,0.0,0.0
secondary.dMass,0.0,0.01,0.0,0.0
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.02,0.0,0.0,0.0
secondary.dRotPeriod,0.0,0.0,0.0,0.0
secondary.dEcc,0.07,0.09,0.05,0.11
secondary.dOrbPeriod,0.59,0.59,0.9,0.17
primary.dTidalTau,0.08,0.11,0.0,0.23
