,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.02,0.02,0.01,0.08
secondary.dMass,0.02,0.02,0.02,0.05
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.52,0.0,0.0,0.0
secondary.dRotPeriod,0.0,0.54,0.0,0.01
secondary.dEcc,0.13,0.13,0.06,0.6
secondary.dOrbPeriod,0.42,0.45,0.93,0.23
primary.dTidalQ,0.37,0.37,0.08,0.47
