,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.07,0.0,0.01,0.04
secondary.dMass,0.15,0.0,0.0,0.0
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
secondary.dTidalQ,0.0,0.0,0.0,0.07
secondary.dRotPeriod,0.0,0.33,0.0,0.0
secondary.dEcc,0.05,0.04,0.0,0.32
secondary.dOrbPeriod,0.33,0.22,0.9,0.25
primary.dTidalTau,0.0,0.0,0.0,0.0
