,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.09,0.02,0.06,0.04,0.98,0.01,0.54
secondary.dMass,0.03,0.08,0.08,0.09,0.82,0.01,0.55
primary.dRotPeriod,0.01,0.0,0.0,0.0,0.01,0.0,0.0
secondary.dRotPeriod,0.0,0.01,0.0,0.0,0.0,0.0,0.0
secondary.dEcc,0.01,0.01,0.41,0.66,0.6,0.6,0.06
primary.dTidalQ,0.93,0.85,0.74,0.75,0.57,0.56,0.03
