,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.04,0.05,1.0,0.06,0.55,0.33,0.54
secondary.dMass,0.06,0.05,0.35,0.06,0.02,0.53,0.54
primary.dRotPeriod,0.55,0.0,0.25,0.02,1.0,0.0,0.0
secondary.dRotPeriod,0.0,0.64,0.09,0.0,0.0,1.0,0.0
secondary.dEcc,0.28,0.28,1.0,0.53,0.02,0.03,0.01
primary.dTidalTau,0.52,0.49,0.58,0.64,0.4,0.46,0.0
