,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.02,0.02,0.04,0.08
secondary.dMass,0.02,0.01,0.04,0.09
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.09,0.0,0.04,0.04
secondary.dRotPeriod,0.0,0.09,0.01,0.01
secondary.dEcc,0.13,0.13,0.06,0.29
secondary.dOrbPeriod,0.78,0.81,0.91,0.43
primary.dTidalTau,0.19,0.23,0.03,0.64
