,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.08,0.12,0.23,0.09,0.49,0.32,0.54
secondary.dMass,0.09,0.09,0.23,0.08,0.02,0.61,0.54
primary.dRotPeriod,0.22,0.02,0.09,0.01,0.07,0.0,0.0
secondary.dRotPeriod,0.01,0.25,0.49,0.02,0.0,0.46,0.0
secondary.dEcc,0.5,0.51,1.0,0.34,0.03,0.18,0.01
primary.dTidalTau,0.51,0.48,0.29,0.79,0.13,0.42,0.0
