,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.0,0.0,0.07,0.0,0.49,0.0,0.46
secondary.dMass,0.0,0.0,0.0,0.01,0.0,0.51,0.45
primary.dRotPeriod,0.03,0.0,0.03,0.0,0.01,0.0,0.0
secondary.dRotPeriod,0.0,0.01,0.11,0.01,0.0,0.0,0.0
secondary.dEcc,0.44,0.43,0.0,0.12,0.01,0.05,0.01
primary.dTidalTau,0.27,0.17,0.07,0.49,0.01,0.0,0.0
