,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.01,0.0,0.02,0.02,0.07,0.0,0.44
secondary.dMass,0.0,0.02,0.01,0.02,0.0,0.13,0.43
primary.dRotPeriod,0.35,0.0,0.0,0.0,0.22,0.0,0.0
secondary.dRotPeriod,0.0,0.3,0.0,0.0,0.0,0.06,0.0
secondary.dEcc,0.23,0.15,0.23,0.33,0.01,0.0,0.03
primary.dTidalQ,0.01,0.0,0.28,0.41,0.05,0.0,0.01
