,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.23,0.01,0.02,0.01
secondary.dMass,0.01,0.21,0.01,0.01
primary.dRotPeriod,0.35,0.02,0.09,0.03
secondary.dRotPeriod,0.02,0.43,0.13,0.03
secondary.dEcc,0.53,0.52,0.11,0.48
primary.dTidalTau,0.52,0.52,0.13,0.68
