,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.0,0.0,0.0,0.01
secondary.dMass,0.0,0.02,0.0,0.0
primary.dRotPeriod,0.08,0.01,0.18,0.02
secondary.dRotPeriod,0.0,0.07,0.1,0.02
secondary.dEcc,0.39,0.36,0.02,0.28
primary.dTidalTau,0.0,0.05,0.0,0.46
