,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,,,,0.01,,,
secondary.dMass,,,,0.01,,,
primary.dRotPeriod,,,,0.0,,,
secondary.dRotPeriod,,,,0.0,,,
secondary.dEcc,,,,0.31,,,
primary.dTidalQ,,,,0.42,,,
