,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.37,0.0,0.0,0.03,0.08,0.0,0.45
secondary.dMass,0.0,0.35,0.0,0.0,0.0,0.02,0.44
primary.dRotPeriod,0.13,0.0,0.0,0.0,0.44,0.0,0.0
secondary.dRotPeriod,0.0,0.1,0.0,0.0,0.0,0.64,0.0
secondary.dEcc,0.07,0.04,0.12,0.59,0.01,0.0,0.02
primary.dTidalQ,0.0,0.01,0.26,0.26,0.01,0.0,0.01
