,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.02,0.01,0.0,0.02
secondary.dMass,0.01,0.01,0.0,0.01
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.79,0.0,0.0,0.0
secondary.dRotPeriod,0.0,0.78,0.0,0.0
secondary.dEcc,0.04,0.04,0.01,0.84
secondary.dOrbPeriod,0.2,0.2,0.99,0.15
primary.dTidalQ,0.25,0.23,0.01,0.18
