,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.04,0.04,1.0,0.06,0.56,0.08,0.54
secondary.dMass,0.05,0.04,0.27,0.05,0.08,0.44,0.54
primary.dRotPeriod,0.78,0.0,0.35,0.01,1.0,0.0,0.0
secondary.dRotPeriod,0.0,0.78,0.08,0.0,0.0,1.0,0.0
secondary.dEcc,0.2,0.22,0.48,0.67,0.01,0.06,0.01
primary.dTidalTau,0.46,0.47,0.51,0.46,0.18,0.28,0.0
