,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.01,0.01,0.01,0.02,0.29,0.0,0.46
secondary.dMass,0.03,0.01,0.0,0.01,0.01,0.09,0.45
primary.dRotPeriod,0.67,0.0,0.02,0.0,0.38,0.0,0.0
secondary.dRotPeriod,0.0,0.59,0.02,0.0,0.0,0.05,0.0
secondary.dEcc,0.07,0.06,0.08,0.85,0.0,0.0,0.01
primary.dTidalTau,0.07,0.02,0.15,0.06,0.01,0.0,0.0
