,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.05,0.06,0.46,0.04
secondary.dMass,0.05,0.05,0.26,0.02
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.08,0.0,0.46,0.04
secondary.dRotPeriod,0.0,0.05,0.4,0.03
secondary.dEcc,0.09,0.09,1.0,0.48
secondary.dOrbPeriod,0.42,0.4,0.49,0.4
primary.dTidalTau,0.79,0.77,0.93,0.39
