,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.04,0.04,0.01,0.0
secondary.dMass,0.02,0.03,0.04,0.0
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.02,0.01,0.0,0.0
secondary.dRotPeriod,0.0,0.0,0.04,0.0
secondary.dEcc,0.03,0.03,0.0,0.25
secondary.dOrbPeriod,0.14,0.14,0.46,0.18
primary.dTidalTau,0.44,0.49,0.01,0.19
