,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.02,0.05,1.0,0.03,0.34,0.1,0.54
secondary.dMass,0.06,0.02,0.4,0.03,0.1,0.54,0.54
primary.dRotPeriod,0.08,0.01,0.81,0.05,1.0,0.0,0.0
secondary.dRotPeriod,0.0,0.06,0.08,0.02,0.0,1.0,0.0
secondary.dEcc,0.08,0.08,0.38,0.61,0.01,0.09,0.01
primary.dTidalTau,0.9,0.93,0.45,0.52,0.31,0.4,0.0
