,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity
primary.dMass,0.02,0.02,0.01,0.07
secondary.dMass,0.02,0.02,0.0,0.03
primary.dObliquity,0.0,0.0,0.0,0.0
secondary.dObliquity,0.0,0.0,0.0,0.0
primary.dRotPeriod,0.66,0.0,0.0,0.01
secondary.dRotPeriod,0.0,0.63,0.0,0.01
secondary.dEcc,0.07,0.07,0.02,0.73
secondary.dOrbPeriod,0.31,0.34,0.96,0.22
primary.dTidalQ,0.33,0.32,0.04,0.29
