,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.61,0.07,1.0,0.05,0.81,0.02,0.54
secondary.dMass,0.07,0.59,0.56,0.05,0.01,0.82,0.54
primary.dRotPeriod,0.18,0.01,0.85,0.07,0.27,0.0,0.0
secondary.dRotPeriod,0.01,0.12,0.05,0.02,0.0,0.2,0.0
secondary.dEcc,0.27,0.25,0.48,0.49,0.09,0.1,0.01
primary.dTidalTau,0.56,0.51,0.12,0.66,0.24,0.15,0.0
