,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.2,0.02,0.0,0.0,0.65,0.0,0.45
secondary.dMass,0.01,0.15,0.01,0.03,0.0,0.66,0.45
primary.dRotPeriod,0.0,0.01,0.07,0.03,0.02,0.0,0.0
secondary.dRotPeriod,0.0,0.0,0.02,0.01,0.0,0.0,0.0
secondary.dEcc,0.19,0.14,0.03,0.3,0.03,0.03,0.01
primary.dTidalTau,0.11,0.09,0.01,0.39,0.04,0.02,0.0
