,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.01,0.01,0.0,0.01,0.01,0.0,0.45
secondary.dMass,0.02,0.0,0.0,0.0,0.0,0.05,0.44
primary.dRotPeriod,0.13,0.0,0.0,0.01,0.61,0.0,0.0
secondary.dRotPeriod,0.0,0.1,0.01,0.0,0.0,0.55,0.0
secondary.dEcc,0.04,0.0,0.04,0.68,0.0,0.0,0.02
primary.dTidalQ,0.54,0.54,0.15,0.19,0.01,0.01,0.0
