,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.05,0.08,0.07,0.03,0.34,0.0,0.54
secondary.dMass,0.09,0.06,0.03,0.01,0.0,0.18,0.54
primary.dRotPeriod,0.27,0.01,0.05,0.01,0.89,0.0,0.0
secondary.dRotPeriod,0.01,0.25,0.05,0.01,0.0,0.77,0.0
secondary.dEcc,0.17,0.16,0.56,0.79,0.0,0.0,0.02
primary.dTidalQ,0.84,0.85,0.8,0.3,0.1,0.09,0.01
