,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.0,0.01,0.0,0.02,0.07,0.0,0.45
secondary.dMass,0.0,0.01,0.0,0.0,0.0,0.12,0.44
primary.dRotPeriod,0.55,0.0,0.0,0.0,0.25,0.0,0.0
secondary.dRotPeriod,0.0,0.56,0.0,0.0,0.0,0.16,0.0
secondary.dEcc,0.13,0.05,0.12,0.58,0.0,0.0,0.02
primary.dTidalQ,0.03,0.02,0.31,0.24,0.0,0.0,0.01
