,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.03,0.02,1.0,0.05,0.58,0.04,0.54
secondary.dMass,0.04,0.03,0.23,0.06,0.12,0.4,0.54
primary.dRotPeriod,0.85,0.0,0.36,0.01,1.0,0.0,0.0
secondary.dRotPeriod,0.0,0.82,0.08,0.0,0.0,1.0,0.0
secondary.dEcc,0.18,0.2,0.42,0.75,0.01,0.05,0.01
primary.dTidalTau,0.44,0.42,0.47,0.37,0.14,0.24,0.0
