,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.0,0.01,0.0,0.02,0.32,0.0,0.46
secondary.dMass,0.02,0.01,0.0,0.01,0.01,0.09,0.45
primary.dRotPeriod,0.5,0.0,0.05,0.0,0.38,0.0,0.0
secondary.dRotPeriod,0.0,0.43,0.02,0.0,0.0,0.04,0.0
secondary.dEcc,0.1,0.09,0.13,0.64,0.0,0.0,0.01
primary.dTidalTau,0.1,0.04,0.13,0.19,0.01,0.0,0.0
