,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.59,0.01,0.04,0.04,0.69,0.02,0.54
secondary.dMass,0.02,0.61,0.07,0.04,0.01,0.62,0.54
primary.dRotPeriod,0.2,0.0,0.04,0.01,0.24,0.0,0.0
secondary.dRotPeriod,0.0,0.15,0.02,0.0,0.0,0.31,0.0
secondary.dEcc,0.05,0.05,0.56,0.7,0.25,0.23,0.02
primary.dTidalQ,0.51,0.51,0.81,0.45,0.54,0.58,0.01
