,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.07,0.05,1.0,0.03,0.27,0.18,0.54
secondary.dMass,0.07,0.06,0.48,0.03,0.07,0.68,0.54
primary.dRotPeriod,0.08,0.01,0.84,0.05,1.0,0.0,0.0
secondary.dRotPeriod,0.0,0.06,0.07,0.02,0.0,1.0,0.0
secondary.dEcc,0.09,0.1,0.43,0.59,0.01,0.1,0.01
primary.dTidalTau,0.86,0.9,0.2,0.54,0.42,0.45,0.0
