,"$\rm P_{rot1,f}$ [d]","$\rm P_{rot2,f}$ [d]","$\rm P_{orb,f}$ [d]",$e_f$
"$\rm M_1 \,[M_{\odot}]$",0.03,0.02,0.06,0.09
"$\rm M_2 \,[M_{\odot}]$",0.03,0.02,0.05,0.08
"\rm $\varepsilon_{1,i}$ [deg]",0.0,0.0,0.0,0.0
"\rm $\varepsilon_{2,i}$ [deg]",0.0,0.0,0.0,0.0
"$\rm P_{rot1,i}$ [d]",0.27,0.0,0.11,0.03
"$\rm P_{rot2,i}$ [d]",0.0,0.26,0.01,0.01
$e_i$,0.13,0.13,0.07,0.44
"$\rm P_{orb,i}$ [d]",0.66,0.64,0.92,0.42
$\rm \log\tau_1$ [dex(s)],0.28,0.31,0.06,0.42
