,"$\rm P_{rot1,f}$ [d]","$\rm P_{rot2,f}$ [d]","$\rm P_{orb,f}$ [d]",$e_f$
"$\rm M_1 \,[M_{\odot}]$",0.0,0.0,0.0,0.0
"$\rm M_2 \,[M_{\odot}]$",0.0,0.0,0.0,0.01
"\rm $\varepsilon_{1,i}$ [deg]",0.0,0.0,0.0,0.0
"\rm $\varepsilon_{2,i}$ [deg]",0.0,0.0,0.0,0.0
"$\rm P_{rot1,i}$ [d]",0.07,0.0,0.0,0.0
"$\rm P_{rot2,i}$ [d]",0.0,0.07,0.0,0.0
$e_i$,0.07,0.06,0.03,0.22
"$\rm P_{orb,i}$ [d]",0.46,0.45,0.89,0.17
$\rm \log\tau_1$ [dex(s)],0.07,0.06,0.0,0.2
