,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.0,0.03,0.0,0.01,0.03,0.0,0.45
secondary.dMass,0.0,0.0,0.0,0.0,0.0,0.06,0.44
primary.dRotPeriod,0.14,0.0,0.01,0.01,0.57,0.0,0.0
secondary.dRotPeriod,0.0,0.12,0.02,0.01,0.0,0.56,0.0
secondary.dEcc,0.03,0.01,0.07,0.71,0.0,0.0,0.01
primary.dTidalQ,0.59,0.57,0.16,0.17,0.02,0.02,0.0
