,final.primary.RotPer,final.secondary.RotPer,final.secondary.OrbPeriod,final.secondary.Eccentricity,final.primary.RotAngMom,final.secondary.RotAngMom,final.secondary.OrbAngMom
primary.dMass,0.02,0.07,0.05,0.02,0.4,0.0,0.54
secondary.dMass,0.08,0.03,0.03,0.02,0.0,0.21,0.54
primary.dRotPeriod,0.25,0.01,0.09,0.03,0.96,0.0,0.0
secondary.dRotPeriod,0.01,0.26,0.05,0.01,0.0,0.8,0.0
secondary.dEcc,0.16,0.16,0.57,0.81,0.0,0.0,0.01
primary.dTidalQ,0.84,0.87,0.81,0.26,0.09,0.1,0.01
